 OFE DD MM YYYY  Precip   Runoff   EffInt PeakRO  EffDur Enrich    Keff   Sm  LeafArea  CanHgt  Cancov IntCov  RilCov  LivBio DeadBio  Ki    Kr     Tcrit RilWid   SedLeave
 na  na na  na     mm       mm     mm/h    mm/h      h    Ratio    mm/h   mm    Index    m       %       %       %     Kg/m^2  Kg/m^2  na    na      na     m       kg/m
  6  1  3    1    6.280    0.676   0.000   0.131   5.172 0.880   0.000 525.227   0.000  0.000    0.000   59.657   59.657    0.000  0.188  0.149  0.150  3.920  0.150    0.000
  1  9  3    1    0.000    0.978   0.000   0.466   2.099 1.001   0.000 497.423   0.000  0.000    0.000   89.858   89.858    0.000  0.995  0.153  0.450  3.234  0.044    0.000
  2  9  3    1    0.000    0.872   0.000   0.415   2.099 0.928   0.000 490.491   0.000  0.000    0.000   89.858   89.858    0.000  0.995  0.153  0.450  3.170  0.048    0.000
  3  9  3    1    0.000    0.415   0.000   0.198   2.099 0.928   0.000 443.982   0.000  0.000    0.000   59.766   59.766    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  4  9  3    1    0.000    0.376   0.000   0.179   2.099 0.928   0.000 440.903   0.000  0.000    0.000   59.766   59.766    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  5  9  3    1    0.000    0.289   0.000   0.138   2.099 0.955   0.000 443.800   0.000  0.000    0.000   59.766   59.766    0.000  0.188  0.153  0.450  3.215  0.150    0.000
  6  9  3    1    0.000    0.274   0.000   0.131   2.099 0.880   0.000 526.250   0.000  0.000    0.000   59.770   59.770    0.000  0.188  0.149  0.150  3.920  0.150    0.000
  1 10  3    1    0.000   17.433   0.000   3.978   4.382 1.001   0.000 497.985   0.000  0.000    0.000   89.845   89.845    0.000  0.994  0.153  0.450  3.234  0.075    0.000
  2 10  3    1    0.000   17.488   0.000   3.991   4.382 0.928   0.000 490.682   0.000  0.000    0.000   89.845   89.845    0.000  0.994  0.153  0.450  3.170  0.080    0.000
  3 10  3    1    0.000   13.428   0.000   3.064   4.382 0.928   0.000 444.698   0.000  0.000    0.000   59.774   59.774    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  4 10  3    1    0.000   12.946   0.000   2.954   4.382 0.928   0.000 441.241   0.000  0.000    0.000   59.774   59.774    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  5 10  3    1    0.000   11.599   0.000   2.647   4.382 0.955   0.000 444.513   0.000  0.000    0.000   59.774   59.774    0.000  0.188  0.153  0.450  3.215  0.150    0.000
  6 10  3    1    0.000   11.429   0.000   2.608   4.382 0.880   0.000 527.200   0.000  0.000    0.000   59.780   59.780    0.000  0.188  0.149  0.150  3.920  0.150    0.000
  1 11  3    1    0.000   17.997   0.000   3.088   5.828 1.001   0.000 498.449   0.000  0.000    0.000   89.836   89.836    0.000  0.994  0.153  0.450  3.234  0.075    0.000
  2 11  3    1    0.000   17.855   0.000   3.064   5.828 0.928   0.000 490.698   0.000  0.000    0.000   89.836   89.836    0.000  0.994  0.153  0.450  3.170  0.080    0.000
  3 11  3    1    0.000   15.446   0.000   2.650   5.828 0.928   0.000 444.782   0.000  0.000    0.000   59.778   59.778    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  4 11  3    1    0.000   14.808   0.000   2.541   5.828 0.928   0.000 443.350   0.000  0.000    0.000   59.782   59.782    0.000  0.188  0.153  0.450  3.170  0.150    0.000
  5 11  3    1    0.000   14.411   0.000   2.473   5.828 0.955   0.000 444.225   0.000  0.000    0.000   59.779   59.779    0.000  0.188  0.153  0.450  3.215  0.150    0.000
  6 11  3    1    0.000   14.299   0.000   2.453   5.828 0.880   0.000 527.443   0.000  0.000    0.000   59.785   59.785    0.000  0.188  0.149  0.150  3.920  0.150    0.000
  1 12  3    1    0.000    0.217   0.000   0.031   6.902 1.001   0.000 501.798   0.000  0.000    0.000   89.804   89.804    0.000  0.993  0.153  0.450  3.234  0.075    0.000
  2 12  3    1    0.000    0.835   0.000   0.121   6.902 0.928   0.000 495.809   0.000  0.000    0.000   89.804   89.804    0.000  0.993  0.153  0.450  3.170  0.080    0.000
  3 12  3    1    0.000   10.367   0.000   1.502   6.902 1.002   0.000 446.243   0.000  0.000    0.000   59.780   59.780    0.000  0.187  0.153  0.450  3.170  0.150   38.182
  4 12  3    1    0.000   10.001   0.000   1.449   6.902 1.002   0.000 459.092   0.000  0.000    0.000   59.776   59.776    0.000  0.187  0.153  0.450  3.170  0.150   38.182
  5 12  3    1    0.000   12.266   0.000   1.777   6.902 1.034   0.000 445.020   0.000  0.000    0.000   59.784   59.784    0.000  0.187  0.153  0.450  3.215  0.150   38.182
  6 12  3    1    0.000   13.059   0.000   1.892   6.902 0.966   0.000 530.220   0.000  0.000    0.000   59.785   59.785    0.000  0.187  0.149  0.150  3.920  0.150   44.411
  1 13  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 504.606   0.000  0.000    0.000   89.763   89.763    0.000  0.991  0.153  0.471  2.830  0.075    0.000
  2 13  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 498.888   0.000  0.000    0.000   89.763   89.763    0.000  0.991  0.153  0.471  2.774  0.080    0.000
  3 13  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 460.861   0.000  0.000    0.000   59.777   59.777    0.000  0.187  0.153  0.450  3.170  0.150    0.000
  4 13  3    1    0.000    0.686   0.000   5.441   1.873 1.002   0.000 467.585   0.000  0.000    0.000   59.701   59.701    0.000  0.187  0.153  0.450  3.170  0.150    0.000
  5 13  3    1    0.000    0.965   0.000   2.346   1.873 1.034   0.000 458.371   0.000  0.000    0.000   59.789   59.789    0.000  0.187  0.153  0.450  3.215  0.150    0.000
  6 13  3    1    0.000    0.922   0.000   1.990   1.873 0.960   0.000 546.742   0.000  0.000    0.000   59.774   59.774    0.000  0.187  0.149  0.150  3.920  0.150    0.000
  1 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 507.673   0.000  0.000    0.000   89.743   89.743    0.000  0.990  0.153  0.450  3.234  0.075    0.000
  2 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 502.553   0.000  0.000    0.000   89.743   89.743    0.000  0.990  0.153  0.450  3.170  0.080    0.000
  3 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.002 474.362   0.000  0.000    0.000   59.762   59.762    0.000  0.187  0.153  0.450  3.170  0.150    0.000
  4 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 480.442   0.000  0.000    0.000   59.685   59.685    0.000  0.187  0.176  0.450  3.107  0.150    0.000
  5 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 471.911   0.000  0.000    0.000   59.773   59.773    0.000  0.187  0.153  0.450  3.215  0.150    0.000
  6 15  3    1    0.000    0.000   0.000   0.000   0.000 0.000   0.000 559.759   0.000  0.000    0.000   59.758   59.758    0.000  0.187  0.149  0.150  3.920  0.150    0.000
  1 30  3    1   21.770    0.000   0.000   0.000   0.000 0.000   4.265 543.956   0.000  0.000    0.000   89.198   89.198    0.000  0.968  0.153  0.450  3.234  0.075    0.000
  2 30  3    1   21.770    0.000   0.000   0.000   0.000 0.000   4.203 543.594   0.000  0.000    0.000   89.198   89.198    0.000  0.968  0.153  0.450  3.170  0.080    0.000
  3 30  3    1   21.770    0.000   0.000   0.000   0.000 0.000   6.472 548.920   0.000  0.000    0.000   58.744   58.744    0.000  0.182  0.153  0.450  3.170  0.150    0.000
